emoji,hexcode,hfg-priority,hfg-tags
🍾,1F37E,3,
🍿,1F37F,3,
🎀,1F380,3,
🎁,1F381,2,
🎂,1F382,2,
🎃,1F383,2,
🎄,1F384,2,
🎅,1F385,2,
🎆,1F386,4,
🎇,1F387,4,
🎈,1F388,2,
🎉,1F389,2,
🎊,1F38A,2,
🎋,1F38B,3,
🎌,1F38C,3,
🎍,1F38D,4,
🎎,1F38E,3,
🎏,1F38F,4,
🎐,1F390,4,
🎑,1F391,4,
🎒,1F392,3,
🎓️,1F393,1,
🎖️,1F396,3,
🎗️,1F397,2,
🎙️,1F399,3,
🎚️,1F39A,2,
🎛️,1F39B,3,
🎞️,1F39E,2,
🎟️,1F39F,3,
🎠,1F3A0,4,
🎡,1F3A1,4,
🎢,1F3A2,4,
🎣,1F3A3,3,
🎤,1F3A4,2,
🎥,1F3A5,2,
🎦,1F3A6,2,
🎧️,1F3A7,1,
🎨,1F3A8,3,
🎩,1F3A9,3,
🎪,1F3AA,3,
🎫,1F3AB,2,
🎬️,1F3AC,2,
🎭️,1F3AD,2,
🎮️,1F3AE,2,
🎯,1F3AF,3,
🎰,1F3B0,4,
🎱,1F3B1,3,
🎲,1F3B2,3,
🎳,1F3B3,4,
🎴,1F3B4,4,
🎵,1F3B5,2,
🎶,1F3B6,2,
🎷,1F3B7,3,
🎸,1F3B8,3,
🎹,1F3B9,3,
🎺,1F3BA,3,
🎻,1F3BB,3,
🎼,1F3BC,3,
🎽,1F3BD,4,
🎾,1F3BE,3,
🎿,1F3BF,3,
🏀,1F3C0,3,
🏁,1F3C1,2,
🏂️,1F3C2,3,
🏃,1F3C3,3,
🏃‍♀️,1F3C3-200D-2640-FE0F,4,
🏃‍♂️,1F3C3-200D-2642-FE0F,4,
🏄️,1F3C4,3,
🏄‍♀️,1F3C4-200D-2640-FE0F,4,
🏄‍♂️,1F3C4-200D-2642-FE0F,4,
🏅,1F3C5,3,
🏆️,1F3C6,2,
🏇,1F3C7,3,
🏈,1F3C8,3,
🏉,1F3C9,3,
🏊️,1F3CA,3,
🏊‍♀️,1F3CA-200D-2640-FE0F,4,
🏊‍♂️,1F3CA-200D-2642-FE0F,4,
🏋️,1F3CB,3,
🏋️‍♀️,1F3CB-FE0F-200D-2640-FE0F,4,
🏋️‍♂️,1F3CB-FE0F-200D-2642-FE0F,4,
🏌️,1F3CC,3,
🏌️‍♀️,1F3CC-FE0F-200D-2640-FE0F,4,
🏌️‍♂️,1F3CC-FE0F-200D-2642-FE0F,4,
🏍️,1F3CD,2,
🏎️,1F3CE,3,
🏏,1F3CF,3,
🏐,1F3D0,3,
🏑,1F3D1,3,
🏒,1F3D2,3,
🏓,1F3D3,3,
🏔️,1F3D4,3,
🏕️,1F3D5,3,
🏖️,1F3D6,3,
🏗️,1F3D7,3,
🏘️,1F3D8,2,
🏙️,1F3D9,3,
🏚️,1F3DA,3,
🏛️,1F3DB,2,
🏜️,1F3DC,3,
🏝️,1F3DD,3,
🏞️,1F3DE,3,
🏟️,1F3DF,3,
🏠️,1F3E0,1,
🏡,1F3E1,3,
🏢,1F3E2,3,
🏣,1F3E3,3,
🏤,1F3E4,3,
🏥,1F3E5,2,
🏦,1F3E6,3,
🏧,1F3E7,4,
🏨,1F3E8,3,
🏩,1F3E9,3,
🏪,1F3EA,3,
🏫,1F3EB,2,
🏬,1F3EC,3,
🏭️,1F3ED,3,
🏮,1F3EE,4,
🏯,1F3EF,3,
🏰,1F3F0,3,
🏳️,1F3F3,3,
🏳️‍🌈,1F3F3-FE0F-200D-1F308,3,
🏴,1F3F4,3,
