emoji,hexcode,hfg_tags,hfg_author
🙄,1F644,annoyed,Emily Jäger
🤐,1F910,,Emily Jäger
🤔,1F914,"hand, overthinking",Emily Jäger
🤑,1F911,"tongue, dollar",Emily Jäger
🤤,1F924,"hungry, yummi",Emily Jäger
🤨,1F928,suspiciously,Emily Jäger
😀,1F600,"smile, happy",Emily Jäger
😁,1F601,"happy, teeth, mouth",Emily Jäger
😂,1F602,,Emily Jäger
😄,1F604,"happy, teeth",Emily Jäger
😅,1F605,laugh,Emily Jäger
😆,1F606,,Emily Jäger
😉,1F609,eye,Emily Jäger
😊,1F60A,satisfied,Emily Jäger
😋,1F60B,"yummi, tongue",Emily Jäger
😍,1F60D,"hearts, happy",Emily Jäger
😎,1F60E,,Emily Jäger
😘,1F618,"love, happy",Emily Jäger
😚,1F61A,"love, happy",Emily Jäger
🙂,1F642,satisfied,Emily Jäger
🤣,1F923,tears,Emily Jäger
☺️,263A,satisfied,Emily Jäger
😃,1F603,"eyes, teeth",Emily Jäger
😗,1F617,,Emily Jäger
😙,1F619,,Emily Jäger
🤗,1F917,hands,Emily Jäger
🤩,1F929,suprised,Emily Jäger
😇,1F607,,Emily Jäger
🤓,1F913,"glasses, learning",Emily Jäger
🤠,1F920,howdy,Emily Jäger
🤡,1F921,,Emily Jäger
🤥,1F925,"nose, long",Emily Jäger
🤫,1F92B,"hand, silent",Emily Jäger
🤭,1F92D,"hand, mouth",Emily Jäger
🧐,1F9D0,"glasses, intelligent",Emily Jäger
😷,1F637,ill,Emily Jäger
🤒,1F912,fever,Emily Jäger
🤕,1F915,head,Emily Jäger
🤢,1F922,green,Emily Jäger
🤮,1F92E,,Emily Jäger
🤧,1F927,tissue,Emily Jäger
💏,1F48F,"man, woman, face, kiss, boy, girl",Lisa Schulz
💑,1F491,"man, woman, heart",Lisa Schulz
👨‍👩‍👧,1F468-200D-1F469-200D-1F467,child,Lisa Schulz
👨‍❤️‍👨,1F468-200D-2764-FE0F-200D-1F468,gay,Lisa Schulz
👨‍❤️‍💋‍👨,1F468-200D-2764-FE0F-200D-1F48B-200D-1F468,gay,Lisa Schulz
👩‍❤️‍👨,1F469-200D-2764-FE0F-200D-1F468,,Lisa Schulz
👩‍❤️‍👩,1F469-200D-2764-FE0F-200D-1F469,"lesbian, girlfried",Lisa Schulz
👩‍❤️‍💋‍👨,1F469-200D-2764-FE0F-200D-1F48B-200D-1F468,,Lisa Schulz
👩‍❤️‍💋‍👩,1F469-200D-2764-FE0F-200D-1F48B-200D-1F469,"lesbian, girlfriend",Lisa Schulz
👪️,1F46A,"man, woman, boy, child",Lisa Schulz
👫,1F46B,"together, heterosexual, straight",Lisa Schulz
👬,1F46C,"together, gay, homosexual",Lisa Schulz
👭,1F46D,"together, girlfriend, lesbian, homosexual",Lisa Schulz
🏁,1F3C1,"black, white, grid, racing",Lisa Schulz
🏳️,1F3F3,white,Lisa Schulz
🏳️‍🌈,1F3F3-FE0F-200D-1F308,color,Lisa Schulz
🏴,1F3F4,,Lisa Schulz
🍙,1F359,,Miriam Vollmeier
🍚,1F35A,,Miriam Vollmeier
🍣,1F363,,Miriam Vollmeier
🍘,1F358,,Miriam Vollmeier
🍝,1F35D,,Miriam Vollmeier
🍠,1F360,,Miriam Vollmeier
🍡,1F361,,Miriam Vollmeier
🍢,1F362,,Miriam Vollmeier
🍤,1F364,,Miriam Vollmeier
🍱,1F371,,Miriam Vollmeier
🍉,1F349,"melon, red",Marius Schnabel
🍋,1F34B,yellow,Marius Schnabel
🍌,1F34C,yellow,Marius Schnabel
🍑,1F351,"pink, red",Marius Schnabel
🍅,1F345,red,Marius Schnabel
🍍,1F34D,tropical,Marius Schnabel
🍏,1F34F,,Marius Schnabel
🍐,1F350,green,Marius Schnabel
🍒,1F352,,Marius Schnabel
🥝,1F95D,green,Marius Schnabel
🥥,1F965,nut,Marius Schnabel
🌭,1F32D,,Miriam Vollmeier
🌯,1F32F,,Miriam Vollmeier
🍔,1F354,,Miriam Vollmeier
🍕,1F355,,Miriam Vollmeier
🍖,1F356,,Miriam Vollmeier
🍗,1F357,,Miriam Vollmeier
🍞,1F35E,,Miriam Vollmeier
🍟,1F35F,,Miriam Vollmeier
