emoji,hexcode,group,subgroups,annotation,tags,hfg_tags,hfg_author,skintone,skintone_base_emoji,skintone_base_hexcode,unicode,order
🕜️,1F55C,travel-places,time,one-thirty,"1, 1:30, clock, one, thirty",time,Rana Cakir,,,,1,2611
🕑️,1F551,travel-places,time,two o’clock,"00, 2, 2:00, clock, o’clock, two",time,Rana Cakir,,,,1,2612
🕝️,1F55D,travel-places,time,two-thirty,"2, 2:30, clock, thirty, two",time,Rana Cakir,,,,1,2613
🕒️,1F552,travel-places,time,three o’clock,"00, 3, 3:00, clock, o’clock, three",time,Rana Cakir,,,,1,2614
🕞️,1F55E,travel-places,time,three-thirty,"3, 3:30, clock, thirty, three",time,Rana Cakir,,,,1,2615
🕓️,1F553,travel-places,time,four o’clock,"00, 4, 4:00, clock, four, o’clock",time,Rana Cakir,,,,1,2616
🕟️,1F55F,travel-places,time,four-thirty,"4, 4:30, clock, four, thirty",time,Rana Cakir,,,,1,2617
🕔️,1F554,travel-places,time,five o’clock,"00, 5, 5:00, clock, five, o’clock",time,Rana Cakir,,,,1,2618
🕠️,1F560,travel-places,time,five-thirty,"5, 5:30, clock, five, thirty",time,Rana Cakir,,,,1,2619
🕕️,1F555,travel-places,time,six o’clock,"00, 6, 6:00, clock, o’clock, six",time,Rana Cakir,,,,1,2620
🕡️,1F561,travel-places,time,six-thirty,"6, 6:30, clock, six, thirty",time,Rana Cakir,,,,1,2621
🕖️,1F556,travel-places,time,seven o’clock,"00, 7, 7:00, clock, o’clock, seven",time,Rana Cakir,,,,1,2622
🕢️,1F562,travel-places,time,seven-thirty,"7, 7:30, clock, seven, thirty",time,Rana Cakir,,,,1,2623
🕗️,1F557,travel-places,time,eight o’clock,"00, 8, 8:00, clock, eight, o’clock",time,Rana Cakir,,,,1,2624
🕣️,1F563,travel-places,time,eight-thirty,"8, 8:30, clock, eight, thirty",time,Rana Cakir,,,,1,2625
🕘️,1F558,travel-places,time,nine o’clock,"00, 9, 9:00, clock, nine, o’clock",time,Rana Cakir,,,,1,2626
🕤️,1F564,travel-places,time,nine-thirty,"9, 9:30, clock, nine, thirty",time,Rana Cakir,,,,1,2627
🕙️,1F559,travel-places,time,ten o’clock,"00, 10, 10:00, clock, o’clock, ten",time,Rana Cakir,,,,1,2628
🕥️,1F565,travel-places,time,ten-thirty,"10, 10:30, clock, ten, thirty",time,Rana Cakir,,,,1,2629
🕚️,1F55A,travel-places,time,eleven o’clock,"00, 11, 11:00, clock, eleven, o’clock",time,Rana Cakir,,,,1,2630
🕦️,1F566,travel-places,time,eleven-thirty,"11, 11:30, clock, eleven, thirty",time,Rana Cakir,,,,1,2631
🌙,1F319,travel-places,sky-weather,crescent moon,"crescent, moon","crescent moon, full moon, night, night sky, moon, celestial body, crescent, planet, far away",Vanessa Boutzikoudi,,,,1,2640
🌛,1F31B,travel-places,sky-weather,first quarter moon face,"face, moon, quarter","face, first quarter, half moon, moon, full moon, night, night sky, starry sky, light, moonlight, round, celestial bodies, sickle, planet",Vanessa Boutzikoudi,,,,1,2642
🌜️,1F31C,travel-places,sky-weather,last quarter moon face,"face, moon, quarter","face, last quarter, half moon, moon, full moon, night, night sky, starry sky, light, moonlight, round, celestial bodies, sickle, planet",Vanessa Boutzikoudi,,,,1,2643
🌡️,1F321,travel-places,sky-weather,thermometer,weather,"temperatures, room temperatures, degrees, heat, warming, fever, cold, celsius, measure, sick",Vanessa Boutzikoudi,,,,1,2645
☀️,2600,travel-places,sky-weather,sun,"bright, rays, sunny","sun, sunrise, warm, sunbeams, feel good, beach, tanning, fire, fireball, hot, heavenly body",Vanessa Boutzikoudi,,,,1,2647
🌝,1F31D,travel-places,sky-weather,full moon face,"bright, face, full, moon","moon, full moon, night, stars, moonlight, disc, no clouds",Vanessa Boutzikoudi,,,,1,2648
🌞,1F31E,travel-places,sky-weather,sun with face,"bright, face, sun","sun, face, bright, sun, sunrise, warm, rays, beach, tanning, fire, fireball, hot, celestial bodies, star",Vanessa Boutzikoudi,,,,1,2649
⭐️,2B50,travel-places,sky-weather,star,star,"star, shine, small planet, sky, yellow, sparkle, far away",Vanessa Boutzikoudi,,,,1,2650
🌟,1F31F,travel-places,sky-weather,glowing star,"glittery, glow, shining, sparkle, star","star, shine, glow, bright, sparkle, small planet, sky, yellow, far away, constellation, shooting star, milky way",Vanessa Boutzikoudi,,,,1,2651
🌠,1F320,travel-places,sky-weather,shooting star,"falling, shooting, star","shooting star, star, sparkle, shine, bright, far away, sky, star sky, night, wish, lightning",Vanessa Boutzikoudi,,,,1,2652
☁️,2601,travel-places,sky-weather,cloud,weather,"cloud, cloudy, rain, gray, misty, diffuse, sky, dream, fleecy clouds",Vanessa Boutzikoudi,,,,1,2654
⛅️,26C5,travel-places,sky-weather,sun behind cloud,"cloud, sun","sun, behind, cloud, appear, cloudy, cool, sunny, weather",Vanessa Boutzikoudi,,,,1,2655
⛈️,26C8,travel-places,sky-weather,cloud with lightning and rain,"cloud, rain, thunder","cloud, lightning, rain, thunder, weather, storm, thunderstorm",Vanessa Boutzikoudi,,,,1,2657
🌤️,1F324,travel-places,sky-weather,sun behind small cloud,"cloud, sun","sun, behind, small, cloud, sunny, cloudy, rain, cool, sky, weather",Vanessa Boutzikoudi,,,,1,2659
🌥️,1F325,travel-places,sky-weather,sun behind large cloud,"cloud, sun","sun, behind, large, cloud, gray, cloudy, rain, diffuse, sky, weather",Vanessa Boutzikoudi,,,,1,2661
🌦️,1F326,travel-places,sky-weather,sun behind rain cloud,"cloud, rain, sun","sun, behind, rain, cloud, wet, rainy, cloudy, cool, weather",Vanessa Boutzikoudi,,,,1,2663
🌧️,1F327,travel-places,sky-weather,cloud with rain,"cloud, rain","cloud, rain, raindrops, falling, down, wet, cool, cloudy, weather, stormy",Vanessa Boutzikoudi,,,,1,2665
🌨️,1F328,travel-places,sky-weather,cloud with snow,"cloud, cold, snow","cloud, snow, falling, ice, wet, cold, cloudy, stormy, weather",Vanessa Boutzikoudi,,,,1,2667
🌩️,1F329,travel-places,sky-weather,cloud with lightning,"cloud, lightning","cloud, lightning, glaring, wet, cold, cloudy, gray, weather, storm, current, voltage, light up, light",Vanessa Boutzikoudi,,,,1,2669
🌪️,1F32A,travel-places,sky-weather,tornado,"cloud, whirlwind","tornado, wind, blow, sky, dangerous, severe weather, storm, hurricane, typhoon, cyclone",Vanessa Boutzikoudi,,,,1,2671
🌬️,1F32C,travel-places,sky-weather,wind face,"blow, cloud, face, wind","wind, face, blowing, air, mouth, mother nature, sky",Vanessa Boutzikoudi,,,,1,2675
🌀,1F300,travel-places,sky-weather,cyclone,"dizzy, hurricane, twister, typhoon","whirl, swirl, spiral, funnel, rotation, rotate, air, turbulent",Vanessa Boutzikoudi,,,,1,2676
🌈,1F308,travel-places,sky-weather,rainbow,rain,"rainbow, color, colorful, colors formed in the sky, sunbeams, sunlight, facet, sparkle, unicorn",Vanessa Boutzikoudi,,,,1,2677
☂️,2602,travel-places,sky-weather,umbrella,"clothing, rain","purple, umbrella, rain, wet, drop, raindrops",Vanessa Boutzikoudi,,,,1,2680
☔️,2614,travel-places,sky-weather,umbrella with rain drops,"clothing, drop, rain, umbrella","umbrella, rain, raindrops, wet, drops, windy, rain falling",Vanessa Boutzikoudi,,,,1,2681
⚡️,26A1,travel-places,sky-weather,high voltage,"danger, electric, lightning, voltage, zap","lightning, high voltage, storm, current, voltage, volts, lights, light",Vanessa Boutzikoudi,,,,1,2684
❄️,2744,travel-places,sky-weather,snowflake,"cold, snow","snowflake, snow, ice, icy, wintry, snow storm, white, cold, frosty, season, weather, melting",Vanessa Boutzikoudi,,,,1,2686
⛄️,26C4,travel-places,sky-weather,snowman without snow,"cold, snow, snowman","snowman, frosty, frosty the snowman, snowman, olaf, winter, not snowing",Vanessa Boutzikoudi,,,,1,2689
🔥,1F525,travel-places,sky-weather,fire,"flame, tool","fire, burn, hot, high temperature, flame, glow, flame, tool",Vanessa Boutzikoudi,,,,1,2692
💧,1F4A7,travel-places,sky-weather,droplet,"cold, comic, drop, sweat","drops, droplets, raindrops, wet, rain, cold, fluid, liquid, wet, puddle, pearl, tear",Vanessa Boutzikoudi,,,,1,2693
🌊,1F30A,travel-places,sky-weather,water wave,"ocean, water, wave","wave, water, salty, sea, wet, cold, sun, beach, vacation, air, surf, sough, listen",Vanessa Boutzikoudi,,,,1,2694
🎃,1F383,activities,event,jack-o-lantern,"celebration, halloween, jack, lantern",pumpkin,Laura Humpfer,,,,1,2695
🎄,1F384,activities,event,Christmas tree,"celebration, christmas, tree",,Laura Humpfer,,,,1,2696
✨,2728,activities,event,sparkles,"sparkle, star","magic, beautiful",Laura Humpfer,,,,1,2700
🎈,1F388,activities,event,balloon,celebration,"balloon, birthday, party, decoration",Laura Humpfer,,,,1,2701
🎉,1F389,activities,event,party popper,"celebration, party, popper, tada","decoration, happy",Laura Humpfer,,,,1,2702
🎊,1F38A,activities,event,confetti ball,"ball, celebration, confetti","decoration, happy",Laura Humpfer,,,,1,2703
🎋,1F38B,activities,event,tanabata tree,"banner, celebration, japanese, tree",,Laura Humpfer,,,,1,2704
🎎,1F38E,activities,event,Japanese dolls,"celebration, doll, festival, japanese, japanese dolls",,Laura Humpfer,,,,1,2706
🎀,1F380,activities,event,ribbon,celebration,"present, gift, decoration, party, girl, girly, fashion",Laura Humpfer,,,,1,2711
🎁,1F381,activities,event,wrapped gift,"box, celebration, gift, present, wrapped","present, birthday, christmas",Laura Humpfer,,,,1,2712
🎗️,1F397,activities,event,reminder ribbon,"celebration, reminder, ribbon",,Laura Humpfer,,,,1,2714
🎟️,1F39F,activities,event,admission tickets,"admission, ticket",,Laura Humpfer,,,,1,2716
🎫,1F3AB,activities,event,ticket,admission,,Laura Humpfer,,,,1,2717
🎖️,1F396,activities,award-medal,military medal,"celebration, medal, military","Medal, Medallion, Military, Ribbon",Julian Grüneberg,,,,1,2719
🏆️,1F3C6,activities,award-medal,trophy,prize,"Trophy, Championship, Winner, Gold Cup, award",Julian Grüneberg,,,,1,2720
🏅,1F3C5,activities,award-medal,sports medal,medal,"Sports, Medal, Sporting",Julian Grüneberg,,,,1,2721
🥇,1F947,activities,award-medal,1st place medal,"first, gold, medal","Gold Medal, Gold, Medal, 1st Place Medal, First Place Medal",Julian Grüneberg,,,,3,2722
🥈,1F948,activities,award-medal,2nd place medal,"medal, second, silver","Silver, Medal, Silver Medal, Second Place, Second Place Medal, 2nd Place Medal",Julian Grüneberg,,,,3,2723
🥉,1F949,activities,award-medal,3rd place medal,"bronze, medal, third","Bronze, Medal, Bronze Medal, Third Place, Third Place Medal, 3rd Place Medal",Julian Grüneberg,,,,3,2724
⚽️,26BD,activities,sport,soccer ball,"ball, football, soccer","soccer, ball, football, game, ball game, team sports",Vanessa Boutzikoudi,,,,1,2725
⚾️,26BE,activities,sport,baseball,ball,"baseball, white, ball, american, game, ball game, team sports",Vanessa Boutzikoudi,,,,1,2726
🏀,1F3C0,activities,sport,basketball,"ball, hoop","basketball, orange ball, team sport, sport, canadian sport, game",Vanessa Boutzikoudi,,,,1,2728
🏐,1F3D0,activities,sport,volleyball,"ball, game","ball, ball game, team sport, sport, hobby, olympic games",Vanessa Boutzikoudi,,,,1,2729
🏈,1F3C8,activities,sport,american football,"american, ball, football","american, football, american game, oval ball, ball game, superbowl, team sport",Vanessa Boutzikoudi,,,,1,2730
🏉,1F3C9,activities,sport,rugby football,"ball, football, rugby","rugby, football, brown ball, league, rugby, union, team sport, british sports, sport",Vanessa Boutzikoudi,,,,1,2731
🎾,1F3BE,activities,sport,tennis,"ball, racquet","tennis, tennis ball, ball game, game, racket, racquet, sport",Vanessa Boutzikoudi,,,,1,2732
🏏,1F3CF,activities,sport,cricket game,"ball, bat, game","cricket, game, cricket bat and ball, hobby, activity",Vanessa Boutzikoudi,,,,1,2735
🏑,1F3D1,activities,sport,field hockey,"ball, field, game, hockey, stick","field, hockey, field hockey stick and ball, ice hockey, team sport, hockey stick, puck",Vanessa Boutzikoudi,,,,1,2736
🏒,1F3D2,activities,sport,ice hockey,"game, hockey, ice, puck, stick","ice hockey, hockey stick, puck, field hockey, game, team sport",Vanessa Boutzikoudi,,,,1,2737
🏓,1F3D3,activities,sport,ping pong,"ball, bat, game, paddle, table tennis","ping pong, table tennis, paddle, ball, game, ball game, hobby",Vanessa Boutzikoudi,,,,1,2739
🥊,1F94A,activities,sport,boxing glove,"boxing, glove","boxing, glove, red, mitt, sport, fist, beat, slap, slap in your face, muhammad ali",Vanessa Boutzikoudi,,,,3,2741
🥋,1F94B,activities,sport,martial arts uniform,"judo, karate, martial arts, taekwondo, uniform","white, uniform, judo, karate, keikogi, sport",Vanessa Boutzikoudi,,,,3,2742
⛳️,26F3,activities,sport,flag in hole,"golf, hole","flag, golf, golf flag, golf hole with flag, sport, ball, goal",Vanessa Boutzikoudi,,,,1,2744
🎣,1F3A3,activities,sport,fishing pole,"fish, pole","fishing rod, fishing pole, line, fish, caught, hobby",Vanessa Boutzikoudi,,,,1,2747
🎿,1F3BF,activities,sport,skis,"ski, snow","skis, Skiing, Ski Boot, to ski, winter, snow, hobby, sport",Vanessa Boutzikoudi,,,,1,2749
🎯,1F3AF,activities,game,direct hit,"bullseye, dart, game, hit, target","direct, hit, dart board, archery, bullseye, target, darts, game",Vanessa Boutzikoudi,,,,1,2752
🎱,1F3B1,activities,game,pool 8 ball,"8, ball, billiard, eight, game","pool ball, 8 Ball, black ball, cue ball, magic 8 ball, pool, snooker, billiards, game",Vanessa Boutzikoudi,,,,1,2753
🔮,1F52E,activities,game,crystal ball,"ball, crystal, fairy tale, fantasy, fortune, tool",mystery,Marius Schnabel,,,,1,2754
🎮️,1F3AE,activities,game,video game,"controller, game",gamble,Lisa Schulz,,,,1,2756
🕹️,1F579,activities,game,joystick,"game, video game",,Lisa Schulz,,,,1,2758
🎲,1F3B2,activities,game,game die,"dice, die, game",board game,Lisa Schulz,,,,1,2760
🎭️,1F3AD,activities,arts-crafts,performing arts,"art, mask, performing, theater, theatre","culture, entertainment, education",Martin Wehl,,,,1,2776
🖼️,1F5BC,activities,arts-crafts,framed picture,"art, frame, museum, painting, picture","culture, artist, entertainment",Martin Wehl,,,,1,2778
🎨,1F3A8,activities,arts-crafts,artist palette,"art, museum, painting, palette","culture, artist, leisure, entertainment",Martin Wehl,,,,1,2779
🔇,1F507,objects,sound,muted speaker,"mute, quiet, silent, speaker",,Rana Cakir,,,,1,2782
🔈️,1F508,objects,sound,speaker low volume,soft,sound,Rana Cakir,,,,1,2783
🔉,1F509,objects,sound,speaker medium volume,medium,,Rana Cakir,,,,1,2784
🔊,1F50A,objects,sound,speaker high volume,loud,sound,Rana Cakir,,,,1,2785
📢,1F4E2,objects,sound,loudspeaker,"loud, public address",sound,Rana Cakir,,,,1,2786
📯,1F4EF,objects,sound,postal horn,"horn, post, postal",,Rana Cakir,,,,1,2788
🔔,1F514,objects,sound,bell,bell,sound,Rana Cakir,,,,1,2789
🔕,1F515,objects,sound,bell with slash,"bell, forbidden, mute, quiet, silent",,Rana Cakir,,,,1,2790
🎼,1F3BC,objects,music,musical score,"music, score","violin key, rhythm",Sina Schulz,,,,1,2791
🎵,1F3B5,objects,music,musical note,"music, note","song, melody, sounds, tone",Sina Schulz,,,,1,2792
🎶,1F3B6,objects,music,musical notes,"music, note, notes","melody, harmony, sounds, rhythm",Sina Schulz,,,,1,2793
🎙️,1F399,objects,music,studio microphone,"mic, microphone, music, studio","studio, microphone, stereo, recording",Sina Schulz,,,,1,2795
🎚️,1F39A,objects,music,level slider,"level, music, slider","studio, music slider",Sina Schulz,,,,1,2797
🎛️,1F39B,objects,music,control knobs,"control, knobs, music","music, mix, recording, tool, knobs",Sina Schulz,,,,1,2799
🎤,1F3A4,objects,music,microphone,"karaoke, mic","sound, loud, stage, speech, singing, karaoke, mic, microphone, tone",Sina Schulz,,,,1,2800
🎧️,1F3A7,objects,music,headphone,earbud,"music, headphones",Sina Schulz,,,,1,2801
📻️,1F4FB,objects,music,radio,video,"radio, stereo radio, analog radio",Sina Schulz,,,,1,2802
🎷,1F3B7,objects,musical-instrument,saxophone,"instrument, music, sax","saxophone, sax, jazz, instrument",Sina Schulz,,,,1,2803
🎸,1F3B8,objects,musical-instrument,guitar,"instrument, music","guitar, e-guitar, instrumental, acoustic, chords,",Sina Schulz,,,,1,2804
🎹,1F3B9,objects,musical-instrument,musical keyboard,"instrument, keyboard, music, piano","keyboard, piano keys, chords",Sina Schulz,,,,1,2805
🎺,1F3BA,objects,musical-instrument,trumpet,"instrument, music","trumpet, horns, music, woodwind instrument",Sina Schulz,,,,1,2806
🎻,1F3BB,objects,musical-instrument,violin,"instrument, music","string, violin, fiddle, bow",Sina Schulz,,,,1,2807
🥁,1F941,objects,musical-instrument,drum,"drumsticks, music","drum, drumsticks, music, beat",Sina Schulz,,,,3,2808
📱,1F4F1,objects,phone,mobile phone,"cell, mobile, phone, telephone","smartphone, message, voice, communication",Martin Wehl,,,,1,2809
📲,1F4F2,objects,phone,mobile phone with arrow,"arrow, cell, mobile, phone, receive","voice, smartphone, message",Martin Wehl,,,,1,2810
☎️,260E,objects,phone,telephone,phone,"call, voice, communication",Kai Wanschura,,,,1,2812
📞,1F4DE,objects,phone,telephone receiver,"phone, receiver, telephone","call, voice, communication",Kai Wanschura,,,,1,2813
📠,1F4E0,objects,phone,fax machine,fax,"office, paper, communication",Martin Wehl,,,,1,2815
🔋,1F50B,objects,computer,battery,battery,"electricity, energy, electric",Jonas Roßner,,,,1,2816
🔌,1F50C,objects,computer,electric plug,"electric, electricity, plug",,Jonas Roßner,,,,1,2817
💻️,1F4BB,objects,computer,laptop computer,"computer, pc, personal","old, retro",Jonas Roßner,,,,1,2818
🖥️,1F5A5,objects,computer,desktop computer,"computer, desktop","electric, screen",Jonas Roßner,,,,1,2820
🖨️,1F5A8,objects,computer,printer,computer,"color, electric",Jonas Roßner,,,,1,2822
⌨️,2328,objects,computer,keyboard,computer,"key, write, electric",Jonas Roßner,,,,1,2824
🖱️,1F5B1,objects,computer,computer mouse,computer,"electric, computer, mouse",Jonas Roßner,,,,1,2826
💽,1F4BD,objects,computer,computer disk,"computer, disk, minidisk, optical","old, retro",Jonas Roßner,,,,1,2829
💾,1F4BE,objects,computer,floppy disk,"computer, disk, floppy","old, retro",Jonas Roßner,,,,1,2830
💿️,1F4BF,objects,computer,optical disk,"cd, computer, disk, optical","analog,",Jonas Roßner,,,,1,2831
📀,1F4C0,objects,computer,dvd,"blu-ray, computer, disk, optical",film,Jonas Roßner,,,,1,2832
🎥,1F3A5,objects,light-video,movie camera,"camera, cinema, movie","film, record",Sina Schulz,,,,1,2834
🎞️,1F39E,objects,light-video,film frames,"cinema, film, frames, movie","clip, film",Sina Schulz,,,,1,2836
📽️,1F4FD,objects,light-video,film projector,"cinema, film, movie, projector, video","play, film clip, movie",Sina Schulz,,,,1,2838
🎬️,1F3AC,objects,light-video,clapper board,"clapper, movie","cut, new recording",Sina Schulz,,,,1,2839
📺️,1F4FA,objects,light-video,television,"tv, video","flat screen, tv, modern",Sina Schulz,,,,1,2840
📷️,1F4F7,objects,light-video,camera,video,"camera, digital",Sina Schulz,,,,1,2841
📸,1F4F8,objects,light-video,camera with flash,"camera, flash, video","camera, bright",Sina Schulz,,,,1,2842
📹️,1F4F9,objects,light-video,video camera,"camera, video","record, recording, film, movie",Sina Schulz,,,,1,2843
📼,1F4FC,objects,light-video,videocassette,"tape, vhs, video","movie, film, vhs, cassette, record, recording",Sina Schulz,,,,1,2844
🔍️,1F50D,objects,light-video,magnifying glass tilted left,"glass, magnifying, search, tool","detail, big, zoom, detective",Sina Schulz,,,,1,2845
🔎,1F50E,objects,light-video,magnifying glass tilted right,"glass, magnifying, search, tool","detail, big, zoom, detective",Sina Schulz,,,,1,2846
🕯️,1F56F,objects,light-video,candle,light,"fire, bright, shine",Sina Schulz,,,,1,2848
💡,1F4A1,objects,light-video,light bulb,"bulb, comic, electric, idea, light","shine, light, bulb, power, on, electric, idea",Sina Schulz,,,,1,2849
🔦,1F526,objects,light-video,flashlight,"electric, light, tool, torch","bright, shine, light, flashlight, gadget",Sina Schulz,,,,1,2850
📕,1F4D5,objects,book-paper,closed book,"book, closed","book, read, write, closed",Jonas Roßner,,,,1,2853
📖,1F4D6,objects,book-paper,open book,"book, open","book, read, write, open",Jonas Roßner,,,,1,2854
📚️,1F4DA,objects,book-paper,books,book,"book, read, write",Jonas Roßner,,,,1,2858
📓,1F4D3,objects,book-paper,notebook,notebook,"book, read, write",Jonas Roßner,,,,1,2859
📒,1F4D2,objects,book-paper,ledger,notebook,"book, read, write",Jonas Roßner,,,,1,2860
📃,1F4C3,objects,book-paper,page with curl,"curl, document, page","rolled, page, text",Jonas Roßner,,,,1,2861
📜,1F4DC,objects,book-paper,scroll,paper,"old, papyrus, text",Jonas Roßner,,,,1,2862
📄,1F4C4,objects,book-paper,page facing up,"document, page","write, text, paper",Jonas Roßner,,,,1,2863
📰,1F4F0,objects,book-paper,newspaper,"news, paper","read, news, paper, text",Jonas Roßner,,,,1,2864
🔖,1F516,objects,book-paper,bookmark,mark,"remember,",Jonas Roßner,,,,1,2868
🏷️,1F3F7,objects,book-paper,label,label,"stick,",Jonas Roßner,,,,1,2870
💰️,1F4B0,objects,money,money bag,"bag, dollar, money, moneybag",,Marius Schnabel,,,,1,2871
💴,1F4B4,objects,money,yen banknote,"banknote, bill, currency, money, note, yen",,Marius Schnabel,,,,1,2872
💵,1F4B5,objects,money,dollar banknote,"banknote, bill, currency, dollar, money, note",,Marius Schnabel,,,,1,2873
💶,1F4B6,objects,money,euro banknote,"banknote, bill, currency, euro, money, note",,Marius Schnabel,,,,1,2874
💷,1F4B7,objects,money,pound banknote,"banknote, bill, currency, money, note, pound",,Marius Schnabel,,,,1,2875
💸,1F4B8,objects,money,money with wings,"banknote, bill, fly, money, wings",,Marius Schnabel,,,,1,2876
💳️,1F4B3,objects,money,credit card,"card, credit, money",,Marius Schnabel,,,,1,2877
✉️,2709,objects,mail,envelope,"email, letter","post, message",Marius Schnabel,,,,1,2883
📧,1F4E7,objects,mail,e-mail,"email, letter, mail","message, eletronic",Marius Schnabel,,,,1,2884
📩,1F4E9,objects,mail,envelope with arrow,"arrow, e-mail, email, envelope, outgoing",post,Marius Schnabel,,,,1,2886
📤️,1F4E4,objects,mail,outbox tray,"box, letter, mail, outbox, sent, tray",post,Marius Schnabel,,,,1,2887
📥️,1F4E5,objects,mail,inbox tray,"box, inbox, letter, mail, receive, tray",post,Marius Schnabel,,,,1,2888
📦️,1F4E6,objects,mail,package,"box, parcel","shipping, post",Marius Schnabel,,,,1,2889
📫️,1F4EB,objects,mail,closed mailbox with raised flag,"closed, mail, mailbox, postbox",post,Marius Schnabel,,,,1,2890
📪️,1F4EA,objects,mail,closed mailbox with lowered flag,"closed, lowered, mail, mailbox, postbox",post,Marius Schnabel,,,,1,2891
📮,1F4EE,objects,mail,postbox,"mail, mailbox",post,Marius Schnabel,,,,1,2894
✏️,270F,objects,writing,pencil,pencil,,Rana Cakir,,,,1,2898
🖋️,1F58B,objects,writing,fountain pen,"fountain, pen",,Rana Cakir,,,,1,2902
🖊️,1F58A,objects,writing,pen,ballpoint,,Rana Cakir,,,,1,2904
🖌️,1F58C,objects,writing,paintbrush,painting,"colors, pain, brush",Rana Cakir,,,,1,2906
🖍️,1F58D,objects,writing,crayon,crayon,"painting, colors",Rana Cakir,,,,1,2908
📝,1F4DD,objects,writing,memo,pencil,"pencil, paper, notice",Rana Cakir,,,,1,2909
💼,1F4BC,objects,office,briefcase,briefcase,"bag, briefcase, office bag, leather bag",Sina Schulz,,,,1,2910
📁,1F4C1,objects,office,file folder,"file, folder","file, folder, paper, organise, structure, office, box",Sina Schulz,,,,1,2911
📂,1F4C2,objects,office,open file folder,"file, folder, open","open file, folder, organise, structure, office, box",Sina Schulz,,,,1,2912
📅,1F4C5,objects,office,calendar,date,"calendar, day view, pages, analog",Sina Schulz,,,,1,2915
📆,1F4C6,objects,office,tear-off calendar,calendar,"calendar, tear off",Sina Schulz,,,,1,2916
🗒️,1F5D2,objects,office,spiral notepad,"note, pad, spiral","notes, handwrite, paper, pen, spiral block, college",Sina Schulz,,,,1,2918
🗓️,1F5D3,objects,office,spiral calendar,"calendar, pad, spiral","calendar, year, month view",Sina Schulz,,,,1,2920
📈,1F4C8,objects,office,chart increasing,"chart, graph, growth, trend, upward","graph going up, upward trend",Sina Schulz,,,,1,2922
📉,1F4C9,objects,office,chart decreasing,"chart, down, graph, trend","graph going down, downtrend",Sina Schulz,,,,1,2923
📊,1F4CA,objects,office,bar chart,"bar, chart, graph","data, chart, sheet, graph",Sina Schulz,,,,1,2924
📋️,1F4CB,objects,office,clipboard,clipboard,"board, clip, metal, wood, handwriting",Sina Schulz,,,,1,2925
📌,1F4CC,objects,office,pushpin,pin,"pin, wall, push, paper",Sina Schulz,,,,1,2926
📍,1F4CD,objects,office,round pushpin,"pin, pushpin","pin, wall, push, paper, notes",Sina Schulz,,,,1,2927
📎,1F4CE,objects,office,paperclip,paperclip,"office, paperclip, organisation",Sina Schulz,,,,1,2928
📏,1F4CF,objects,office,straight ruler,"ruler, straight edge","ruler, straight, line, measure, detail",Sina Schulz,,,,1,2931
📐,1F4D0,objects,office,triangular ruler,"ruler, set, triangle","triangle, ruler, line, measure, detail",Sina Schulz,,,,1,2932
✂️,2702,objects,office,scissors,"cutting, tool","scissors, cut, cutting, tool, work, paper, material",Sina Schulz,,,,1,2934
🗃️,1F5C3,objects,office,card file box,"box, card, file","card, file, system, organising, structure, tidy",Sina Schulz,,,,1,2936
🗄️,1F5C4,objects,office,file cabinet,"cabinet, file, filing","box, file system, cabinet, file organising",Sina Schulz,,,,1,2938
🗑️,1F5D1,objects,office,wastebasket,wastebasket,"paper, bin, trash",Sina Schulz,,,,1,2940
🔒️,1F512,objects,lock,locked,closed,"locker, padlock",Lisa Schulz,,,,1,2941
🔓️,1F513,objects,lock,unlocked,"lock, open, unlock","locker, padlock",Lisa Schulz,,,,1,2942
🔐,1F510,objects,lock,locked with key,"closed, key, lock, secure",,Lisa Schulz,,,,1,2944
🔑,1F511,objects,lock,key,"lock, password",closing,Lisa Schulz,,,,1,2945
🗝️,1F5DD,objects,lock,old key,"clue, key, lock, old",,Lisa Schulz,,,,1,2947
🔨,1F528,objects,tool,hammer,tool,"toolbox, metal, wood",Hilda Kalyoncu,,,,1,2948
⛏️,26CF,objects,tool,pick,"mining, tool",weapon,Hilda Kalyoncu,,,,1,2950
🛠️,1F6E0,objects,tool,hammer and wrench,"hammer, spanner, tool, wrench","craft mans, logo",Hilda Kalyoncu,,,,1,2954
🗡️,1F5E1,objects,tool,dagger,"knife, weapon",metal,Hilda Kalyoncu,,,,1,2956
🔫,1F52B,objects,tool,pistol,"gun, handgun, revolver, tool, weapon","gun, weapon, pistol",Hilda Kalyoncu,,,,1,2959
🛡️,1F6E1,objects,tool,shield,weapon,"protection, fight, middle ages",Hilda Kalyoncu,,,,1,2962
🔧,1F527,objects,tool,wrench,"spanner, tool","toolbox, silver",Hilda Kalyoncu,,,,1,2963
⚙️,2699,objects,tool,gear,"cog, cogwheel, tool","tool, metal, silver",Hilda Kalyoncu,,,,1,2966
🗜️,1F5DC,objects,tool,clamp,"compress, tool, vice",toolbox,Hilda Kalyoncu,,,,1,2968
⚖️,2696,objects,tool,balance scale,"balance, justice, libra, scale, zodiac",silver,Hilda Kalyoncu,,,,1,2970
🔗,1F517,objects,tool,link,link,"silver, link",Hilda Kalyoncu,,,,1,2971
⛓️,26D3,objects,tool,chains,chain,"metal, silver",Hilda Kalyoncu,,,,1,2973
🔭,1F52D,objects,science,telescope,"science, tool","stars, sky, space",Sina Schulz,,,,1,2982
