emoji,hexcode,group,subgroups,annotation,tags,hfg_tags,hfg_author,skintone,skintone_base_emoji,skintone_base_hexcode,unicode,order
👦🏾,1F466-1F3FE,smileys-people,person,boy: medium-dark skin tone,,,Johanna Wellnitz,4,👦,1F466,2,133
👦🏿,1F466-1F3FF,smileys-people,person,boy: dark skin tone,,,Johanna Wellnitz,5,👦,1F466,2,134
👧,1F467,smileys-people,person,girl,"virgo, young, zodiac","human, person",Johanna Wellnitz,,👧,1F467,1,135
👧🏻,1F467-1F3FB,smileys-people,person,girl: light skin tone,,,Johanna Wellnitz,1,👧,1F467,2,136
👧🏼,1F467-1F3FC,smileys-people,person,girl: medium-light skin tone,,,Johanna Wellnitz,2,👧,1F467,2,137
👧🏽,1F467-1F3FD,smileys-people,person,girl: medium skin tone,,,Johanna Wellnitz,3,👧,1F467,2,138
👧🏾,1F467-1F3FE,smileys-people,person,girl: medium-dark skin tone,,,Johanna Wellnitz,4,👧,1F467,2,139
👧🏿,1F467-1F3FF,smileys-people,person,girl: dark skin tone,,,Johanna Wellnitz,5,👧,1F467,2,140
🧑,1F9D1,smileys-people,person,person,"adult, gender-neutral, unspecified gender","human, person",Johanna Wellnitz,,🧑,1F9D1,5,141
🧑🏻,1F9D1-1F3FB,smileys-people,person,person: light skin tone,,,Johanna Wellnitz,1,🧑,1F9D1,5,142
🧑🏼,1F9D1-1F3FC,smileys-people,person,person: medium-light skin tone,,,Johanna Wellnitz,2,🧑,1F9D1,5,143
🧑🏽,1F9D1-1F3FD,smileys-people,person,person: medium skin tone,,,Johanna Wellnitz,3,🧑,1F9D1,5,144
🧑🏾,1F9D1-1F3FE,smileys-people,person,person: medium-dark skin tone,,,Johanna Wellnitz,4,🧑,1F9D1,5,145
🧑🏿,1F9D1-1F3FF,smileys-people,person,person: dark skin tone,,,Johanna Wellnitz,5,🧑,1F9D1,5,146
👨,1F468,smileys-people,person,man,adult,"human, person",Johanna Wellnitz,,👨,1F468,1,147
👨🏻,1F468-1F3FB,smileys-people,person,man: light skin tone,,,Johanna Wellnitz,1,👨,1F468,2,148
👨🏼,1F468-1F3FC,smileys-people,person,man: medium-light skin tone,,,Johanna Wellnitz,2,👨,1F468,2,149
👨🏽,1F468-1F3FD,smileys-people,person,man: medium skin tone,,,Johanna Wellnitz,3,👨,1F468,2,150
👨🏾,1F468-1F3FE,smileys-people,person,man: medium-dark skin tone,,,Johanna Wellnitz,4,👨,1F468,2,151
👨🏿,1F468-1F3FF,smileys-people,person,man: dark skin tone,,,Johanna Wellnitz,5,👨,1F468,2,152
👩,1F469,smileys-people,person,woman,adult,"human, person",Johanna Wellnitz,,👩,1F469,1,153
👩🏻,1F469-1F3FB,smileys-people,person,woman: light skin tone,,,Johanna Wellnitz,1,👩,1F469,2,154
👩🏼,1F469-1F3FC,smileys-people,person,woman: medium-light skin tone,,,Johanna Wellnitz,2,👩,1F469,2,155
👩🏽,1F469-1F3FD,smileys-people,person,woman: medium skin tone,,,Johanna Wellnitz,3,👩,1F469,2,156
👩🏾,1F469-1F3FE,smileys-people,person,woman: medium-dark skin tone,,,Johanna Wellnitz,4,👩,1F469,2,157
👩🏿,1F469-1F3FF,smileys-people,person,woman: dark skin tone,,,Johanna Wellnitz,5,👩,1F469,2,158
🧓,1F9D3,smileys-people,person,older person,"adult, gender-neutral, old, unspecified gender","human, person",Johanna Wellnitz,,🧓,1F9D3,5,159
🧓🏻,1F9D3-1F3FB,smileys-people,person,older person: light skin tone,,,Johanna Wellnitz,1,🧓,1F9D3,5,160
🧓🏼,1F9D3-1F3FC,smileys-people,person,older person: medium-light skin tone,,,Johanna Wellnitz,2,🧓,1F9D3,5,161
🧓🏽,1F9D3-1F3FD,smileys-people,person,older person: medium skin tone,,,Johanna Wellnitz,3,🧓,1F9D3,5,162
🧓🏾,1F9D3-1F3FE,smileys-people,person,older person: medium-dark skin tone,,,Johanna Wellnitz,4,🧓,1F9D3,5,163
🧓🏿,1F9D3-1F3FF,smileys-people,person,older person: dark skin tone,,,Johanna Wellnitz,5,🧓,1F9D3,5,164
👴,1F474,smileys-people,person,old man,"adult, man, old","grandpa, human, person",Johanna Wellnitz,,👴,1F474,1,165
👴🏻,1F474-1F3FB,smileys-people,person,old man: light skin tone,,,Johanna Wellnitz,1,👴,1F474,2,166
👴🏼,1F474-1F3FC,smileys-people,person,old man: medium-light skin tone,,,Johanna Wellnitz,2,👴,1F474,2,167
👴🏽,1F474-1F3FD,smileys-people,person,old man: medium skin tone,,,Johanna Wellnitz,3,👴,1F474,2,168
👴🏾,1F474-1F3FE,smileys-people,person,old man: medium-dark skin tone,,,Johanna Wellnitz,4,👴,1F474,2,169
👴🏿,1F474-1F3FF,smileys-people,person,old man: dark skin tone,,,Johanna Wellnitz,5,👴,1F474,2,170
👵,1F475,smileys-people,person,old woman,"adult, old, woman","grandma, human, person",Johanna Wellnitz,,👵,1F475,1,171
👵🏻,1F475-1F3FB,smileys-people,person,old woman: light skin tone,,,Johanna Wellnitz,1,👵,1F475,2,172
👵🏼,1F475-1F3FC,smileys-people,person,old woman: medium-light skin tone,,,Johanna Wellnitz,2,👵,1F475,2,173
👵🏽,1F475-1F3FD,smileys-people,person,old woman: medium skin tone,,,Johanna Wellnitz,3,👵,1F475,2,174
👵🏾,1F475-1F3FE,smileys-people,person,old woman: medium-dark skin tone,,,Johanna Wellnitz,4,👵,1F475,2,175
👵🏿,1F475-1F3FF,smileys-people,person,old woman: dark skin tone,,,Johanna Wellnitz,5,👵,1F475,2,176
👨‍⚕️,1F468-200D-2695-FE0F,smileys-people,person-role,man health worker,"doctor, healthcare, man, nurse, therapist","doctor, healthcare, man, nurse, therapist, stethoscope, doctor smock",Lisa Thiel,,👨‍⚕️,1F468-200D-2695-FE0F,4,177
👨🏻‍⚕️,1F468-1F3FB-200D-2695-FE0F,smileys-people,person-role,man health worker: light skin tone,,,Lisa Thiel,1,👨‍⚕️,1F468-200D-2695-FE0F,4,179
👨🏼‍⚕️,1F468-1F3FC-200D-2695-FE0F,smileys-people,person-role,man health worker: medium-light skin tone,,,Lisa Thiel,2,👨‍⚕️,1F468-200D-2695-FE0F,4,181
👨🏽‍⚕️,1F468-1F3FD-200D-2695-FE0F,smileys-people,person-role,man health worker: medium skin tone,,,Lisa Thiel,3,👨‍⚕️,1F468-200D-2695-FE0F,4,183
👨🏾‍⚕️,1F468-1F3FE-200D-2695-FE0F,smileys-people,person-role,man health worker: medium-dark skin tone,,,Lisa Thiel,4,👨‍⚕️,1F468-200D-2695-FE0F,4,185
👨🏿‍⚕️,1F468-1F3FF-200D-2695-FE0F,smileys-people,person-role,man health worker: dark skin tone,,,Lisa Thiel,5,👨‍⚕️,1F468-200D-2695-FE0F,4,187
👩‍⚕️,1F469-200D-2695-FE0F,smileys-people,person-role,woman health worker,"doctor, healthcare, nurse, therapist, woman","doctor, healthcare, woman, nurse, therapist, stethoscope, doctor smock",Lisa Thiel,,👩‍⚕️,1F469-200D-2695-FE0F,4,189
👩🏻‍⚕️,1F469-1F3FB-200D-2695-FE0F,smileys-people,person-role,woman health worker: light skin tone,,,Lisa Thiel,1,👩‍⚕️,1F469-200D-2695-FE0F,4,191
👩🏼‍⚕️,1F469-1F3FC-200D-2695-FE0F,smileys-people,person-role,woman health worker: medium-light skin tone,,,Lisa Thiel,2,👩‍⚕️,1F469-200D-2695-FE0F,4,193
👩🏽‍⚕️,1F469-1F3FD-200D-2695-FE0F,smileys-people,person-role,woman health worker: medium skin tone,,,Lisa Thiel,3,👩‍⚕️,1F469-200D-2695-FE0F,4,195
👩🏾‍⚕️,1F469-1F3FE-200D-2695-FE0F,smileys-people,person-role,woman health worker: medium-dark skin tone,,,Lisa Thiel,4,👩‍⚕️,1F469-200D-2695-FE0F,4,197
👩🏿‍⚕️,1F469-1F3FF-200D-2695-FE0F,smileys-people,person-role,woman health worker: dark skin tone,,,Lisa Thiel,5,👩‍⚕️,1F469-200D-2695-FE0F,4,199
👨‍🎓,1F468-200D-1F393,smileys-people,person-role,man student,"graduate, man, student","graduate, man, student, black robe, collegian, undergraduate, graduation",Lisa Thiel,,👨‍🎓,1F468-200D-1F393,4,201
👨🏻‍🎓,1F468-1F3FB-200D-1F393,smileys-people,person-role,man student: light skin tone,,,Lisa Thiel,1,👨‍🎓,1F468-200D-1F393,4,202
👨🏼‍🎓,1F468-1F3FC-200D-1F393,smileys-people,person-role,man student: medium-light skin tone,,,Lisa Thiel,2,👨‍🎓,1F468-200D-1F393,4,203
👨🏽‍🎓,1F468-1F3FD-200D-1F393,smileys-people,person-role,man student: medium skin tone,,,Lisa Thiel,3,👨‍🎓,1F468-200D-1F393,4,204
👨🏾‍🎓,1F468-1F3FE-200D-1F393,smileys-people,person-role,man student: medium-dark skin tone,,,Lisa Thiel,4,👨‍🎓,1F468-200D-1F393,4,205
👨🏿‍🎓,1F468-1F3FF-200D-1F393,smileys-people,person-role,man student: dark skin tone,,,Lisa Thiel,5,👨‍🎓,1F468-200D-1F393,4,206
👩‍🎓,1F469-200D-1F393,smileys-people,person-role,woman student,"graduate, student, woman","graduate, woman, student, black robe, collegian, undergraduate, graduation",Lisa Thiel,,👩‍🎓,1F469-200D-1F393,4,207
👩🏻‍🎓,1F469-1F3FB-200D-1F393,smileys-people,person-role,woman student: light skin tone,,,Lisa Thiel,1,👩‍🎓,1F469-200D-1F393,4,208
👩🏼‍🎓,1F469-1F3FC-200D-1F393,smileys-people,person-role,woman student: medium-light skin tone,,,Lisa Thiel,2,👩‍🎓,1F469-200D-1F393,4,209
👩🏽‍🎓,1F469-1F3FD-200D-1F393,smileys-people,person-role,woman student: medium skin tone,,,Lisa Thiel,3,👩‍🎓,1F469-200D-1F393,4,210
👩🏾‍🎓,1F469-1F3FE-200D-1F393,smileys-people,person-role,woman student: medium-dark skin tone,,,Lisa Thiel,4,👩‍🎓,1F469-200D-1F393,4,211
👩🏿‍🎓,1F469-1F3FF-200D-1F393,smileys-people,person-role,woman student: dark skin tone,,,Lisa Thiel,5,👩‍🎓,1F469-200D-1F393,4,212
👨‍🏫,1F468-200D-1F3EB,smileys-people,person-role,man teacher,"instructor, man, professor, teacher","instructor, man, professor, teacher, lecturer, educator, chalkboard",Lisa Thiel,,👨‍🏫,1F468-200D-1F3EB,4,213
👨🏻‍🏫,1F468-1F3FB-200D-1F3EB,smileys-people,person-role,man teacher: light skin tone,,,Lisa Thiel,1,👨‍🏫,1F468-200D-1F3EB,4,214
👨🏼‍🏫,1F468-1F3FC-200D-1F3EB,smileys-people,person-role,man teacher: medium-light skin tone,,,Lisa Thiel,2,👨‍🏫,1F468-200D-1F3EB,4,215
👨🏽‍🏫,1F468-1F3FD-200D-1F3EB,smileys-people,person-role,man teacher: medium skin tone,,,Lisa Thiel,3,👨‍🏫,1F468-200D-1F3EB,4,216
👨🏾‍🏫,1F468-1F3FE-200D-1F3EB,smileys-people,person-role,man teacher: medium-dark skin tone,,,Lisa Thiel,4,👨‍🏫,1F468-200D-1F3EB,4,217
👨🏿‍🏫,1F468-1F3FF-200D-1F3EB,smileys-people,person-role,man teacher: dark skin tone,,,Lisa Thiel,5,👨‍🏫,1F468-200D-1F3EB,4,218
👩‍🏫,1F469-200D-1F3EB,smileys-people,person-role,woman teacher,"instructor, professor, teacher, woman","instructor, woman, professor, teacher, lecturer, educator, chalkboard",Lisa Thiel,,👩‍🏫,1F469-200D-1F3EB,4,219
👩🏻‍🏫,1F469-1F3FB-200D-1F3EB,smileys-people,person-role,woman teacher: light skin tone,,,Lisa Thiel,1,👩‍🏫,1F469-200D-1F3EB,4,220
👩🏼‍🏫,1F469-1F3FC-200D-1F3EB,smileys-people,person-role,woman teacher: medium-light skin tone,,,Lisa Thiel,2,👩‍🏫,1F469-200D-1F3EB,4,221
👩🏽‍🏫,1F469-1F3FD-200D-1F3EB,smileys-people,person-role,woman teacher: medium skin tone,,,Lisa Thiel,3,👩‍🏫,1F469-200D-1F3EB,4,222
👩🏾‍🏫,1F469-1F3FE-200D-1F3EB,smileys-people,person-role,woman teacher: medium-dark skin tone,,,Lisa Thiel,4,👩‍🏫,1F469-200D-1F3EB,4,223
👩🏿‍🏫,1F469-1F3FF-200D-1F3EB,smileys-people,person-role,woman teacher: dark skin tone,,,Lisa Thiel,5,👩‍🏫,1F469-200D-1F3EB,4,224
👨‍⚖️,1F468-200D-2696-FE0F,smileys-people,person-role,man judge,"justice, man, scales","justice, man, scales, judge hammer, gavel, black robe, law, order",Lisa Thiel,,👨‍⚖️,1F468-200D-2696-FE0F,4,225
👨🏻‍⚖️,1F468-1F3FB-200D-2696-FE0F,smileys-people,person-role,man judge: light skin tone,,,Lisa Thiel,1,👨‍⚖️,1F468-200D-2696-FE0F,4,227
👨🏼‍⚖️,1F468-1F3FC-200D-2696-FE0F,smileys-people,person-role,man judge: medium-light skin tone,,,Lisa Thiel,2,👨‍⚖️,1F468-200D-2696-FE0F,4,229
👨🏽‍⚖️,1F468-1F3FD-200D-2696-FE0F,smileys-people,person-role,man judge: medium skin tone,,,Lisa Thiel,3,👨‍⚖️,1F468-200D-2696-FE0F,4,231
👨🏾‍⚖️,1F468-1F3FE-200D-2696-FE0F,smileys-people,person-role,man judge: medium-dark skin tone,,,Lisa Thiel,4,👨‍⚖️,1F468-200D-2696-FE0F,4,233
👨🏿‍⚖️,1F468-1F3FF-200D-2696-FE0F,smileys-people,person-role,man judge: dark skin tone,,,Lisa Thiel,5,👨‍⚖️,1F468-200D-2696-FE0F,4,235
